Geo Point;Geo Shape;gares_id;nom_long;nom_so_gar;nom_su_gar;id_ref_ZdC;StopName;id_ref_ZdA;nom_ZdA;idrefliga;idrefligc;res_com;indice_lig;mode;tertrain;terrer;termetro;tertram;terval;exploitant;idf;principal;x;y;picto ligne;nom_iv
48.84845784944872, 2.3277821284985807;"{""coordinates"": [2.327782128498581, 48.84845784944872], ""type"": ""Point""}";728;Rennes;;;73640;Rennes;44609;Rennes;A01545;C01382;METRO 12;12;METRO;0;0;0;0;0;RATP;1;0;650669.7473;6861144.9042;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/5629d91af00c9f8af73e2b4cfdbcbb49;Rennes
48.86799910892294, 2.3650748610827645;"{""coordinates"": [2.365074861082765, 48.86799910892294], ""type"": ""Point""}";729;République;;;71311;République;44617;République;A01544;C01381;METRO 11;11;METRO;0;0;0;0;0;RATP;1;0;653423.8602;6863295.0761;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/964a06dc4dd9a4041b09c37567bd5b94;République
48.867600880102444, 2.3627573800027633;"{""coordinates"": [2.362757380002763, 48.867600880102444], ""type"": ""Point""}";732;République;;;71311;République;44617;République;A01541;C01378;METRO 8;8;METRO;0;0;0;0;0;RATP;1;0;653253.5033;6863252.1655;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/fc7c7039b5a3e79675aeb4d59dce6f51;République
48.855726428633155, 2.4229832161458753;"{""coordinates"": [2.422983216145875, 48.855726428633155], ""type"": ""Point""}";741;Robespierre;;;71725;Robespierre;44650;Robespierre;A01542;C01379;METRO 9;9;METRO;0;0;0;0;0;RATP;1;0;657661.786;6861897.8455;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/78e78b6d779fd1700a65a68abe9b1b7a;Robespierre
48.94586727214251, 2.3646364825042263;"{""coordinates"": [2.364636482504226, 48.94586727214251], ""type"": ""Point""}";763;Saint-Denis - Université;;;72358;Saint-Denis Université (Paris 8);44860;Saint-Denis - Université;A01546;C01383;METRO 13;13;METRO;0;0;METRO 13;0;0;RATP;1;0;653461.3754;6871954.0026;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1;Saint-Denis - Université
48.84150552236008, 2.3079486779742893;"{""coordinates"": [2.307948677974289, 48.84150552236008], ""type"": ""Point""}";919;Volontaires;;;71113;Volontaires;45060;Volontaires;A01545;C01382;METRO 12;12;METRO;0;0;0;0;0;RATP;1;0;649207.5445;6860384.4512;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/5629d91af00c9f8af73e2b4cfdbcbb49;Volontaires
48.84221841361353, 2.329008926235403;"{""coordinates"": [2.329008926235403, 48.84221841361353], ""type"": ""Point""}";879;Vavin;;;71117;Vavin;44997;Vavin;A01537;C01374;METRO 4;4;METRO;0;0;0;0;0;RATP;1;0;650753.8774;6860450.3764;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/40edb03ba8639ac2542ee899469bacdb;Vavin
48.92310377966602, 2.2862795775297826;"{""coordinates"": [2.286279577529783, 48.92310377966602], ""type"": ""Point""}";1007;Les Agnettes;;;72240;Les Agnettes;43693;Les Agnettes;A01546;C01383;METRO 13;13;METRO;0;0;0;0;0;RATP;1;0;647699.216;6869471.7685;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1;Les Agnettes
48.863610937645674, 2.2875801625296517;"{""coordinates"": [2.287580162529652, 48.863610937645674], ""type"": ""Point""}";862;Trocadéro;;;71285;Trocadéro;44962;Trocadéro;A01539;C01376;METRO 6;6;METRO;0;0;0;0;0;RATP;1;0;647734.8329;6862855.649;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/57c723464a2a0862aa51d73d8a09eff0;Trocadéro
48.79648308455054, 2.3682695400496945;"{""coordinates"": [2.368269540049694, 48.79648308455054], ""type"": ""Point""}";898;Villejuif Paul Vaillant-Couturier;Hôpital Paul Brousse;;70248;Paul Vaillant Couturier;58471;Paul Vaillant Couturier;A01540;C01377;METRO 7;7;METRO;0;0;0;0;0;RATP;1;0;653594.5881;6855341.3988;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a;Villejuif Paul Vaillant-Couturier
48.897402222898094, 2.344847748752399;"{""coordinates"": [2.344847748752399, 48.897402222898094], ""type"": ""Point""}";690;Porte de Clignancourt;;;478883;Porte de Clignancourt;44515;Porte de Clignancourt;A01537;C01374;METRO 4;4;METRO;0;0;METRO 4;0;0;RATP;1;0;651967.2227;6866576.6415;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/40edb03ba8639ac2542ee899469bacdb;Porte de Clignancourt
